Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
15,K172,P.S. 172 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/28/2023,DOES,,DOES,193011.00,0.00,DSF0001034221
15,K172,P.S. 172 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,6/6/2024,DOES,6/11/2024,DOES,65832.00,189.00,DSF0001084076
15,K230,P.S. 230 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Scope,Complete,10/11/2018,3/1/2019,4/19/2019,127484,136740.00,136740.00,"DSF0000871728, DSF0000871729, DSF0000871730, DSF0000894514"
15,K230,P.S. 230 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Design,Complete,4/19/2019,9/18/2019,5/15/2019,637422,595541.00,546011.00,"DSF0000871728, DSF0000871729, DSF0000871730, DSF0000894514"
15,K230,P.S. 230 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Construction,In-Progress,8/16/2021,8/15/2023,,14342004,13455093.00,11472624.00,"DSF0000871728, DSF0000871729, DSF0000871730, DSF0000894514"
15,K230,P.S. 230 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,"CM,F&E",In-Progress,8/16/2021,8/15/2023,,892391,659039.00,639707.00,"DSF0000871728, DSF0000871729, DSF0000871730, DSF0000894514"
15,K230,P.S. 230 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001112631
15,K230,P.S. 230 - BROOKLYN,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,480000.00,0.00,DSF0001112630
15,K230,P.S. 230 - BROOKLYN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,11/10/2021,DOES,,DOES,84168.00,0.00,DSF0001008969
15,K230,P.S. 230 - BROOKLYN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,6/5/2023,DOES,,DOES,258266.00,0.00,DSF0001035141
15,K231,K721 SPED - BROOKLYN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Scope,Complete,1/5/2024,7/18/2024,7/12/2024,15037,29264.00,5499.00,DSF0001091583
15,K231,K721 SPED - BROOKLYN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Design,In-Progress,7/24/2024,12/26/2024,,75185,75185.00,6882.00,DSF0001091583
15,K231,K721 SPED - BROOKLYN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Construction,PNS,PNS,PNS,PNS,1691665,1691665.00,0.00,DSF0001091583
15,K231,K721 SPED - BROOKLYN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,"CM,F&E",PNS,PNS,PNS,PNS,105259,105259.00,9456.00,DSF0001091583
15,K231,K721 SPED - BROOKLYN,SCA IEH,PO18-SAFE ACCESS ABATEMENT,Construction,Complete,8/1/2024,IEH,8/14/2024,IEH,12689.00,0.00,SCA0000073212
15,K231,K721 SPED - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,7/17/2024,DIIR,9/20/2024,DIIR,100000.00,,DSF0001086034
15,K231,K721 SPED - BROOKLYN,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,160962.00,0.00,DSF0001086035
15,K231,K721 SPED - BROOKLYN,DOE - RESOA,FY25 RESO A KITCHEN UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,350000.00,0.00,DSF0001112632
15,K231,K721 SPED - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,10/14/2022,DOES,,DOES,134222.00,0.00,DSF0001034225
15,K261,P.S. 261 - BROOKLYN,SCA CIP,ROOM CONVERSION / PATH OF TRAVEL ROOM CONVERSION,Scope,Complete,6/17/2022,4/25/2023,4/28/2023,27880,39677.00,33678.00,"DSF0001085150, DSF0001083699"
15,K261,P.S. 261 - BROOKLYN,SCA CIP,ROOM CONVERSION / PATH OF TRAVEL ROOM CONVERSION,Design,Complete,5/5/2023,9/8/2023,5/12/2023,136639,102774.00,72249.00,"DSF0001085150, DSF0001083699"
15,K261,P.S. 261 - BROOKLYN,SCA CIP,ROOM CONVERSION / PATH OF TRAVEL ROOM CONVERSION,Construction,In-Progress,1/4/2024,1/2/2025,,2835771,2570714.00,451267.00,"DSF0001085150, DSF0001083699"
15,K261,P.S. 261 - BROOKLYN,SCA CIP,ROOM CONVERSION / PATH OF TRAVEL ROOM CONVERSION,"CM,F&E",In-Progress,1/4/2024,1/2/2025,,215842,99309.00,91809.00,"DSF0001085150, DSF0001083699"
15,K261,P.S. 261 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / PARAPETS / ROOFS / PLAYGROUND REDEVELOPMENT / TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Scope,Complete,9/18/2018,4/25/2023,4/28/2023,58991,111588.00,105723.00,"DSF0000872231, DSF0000895047, DSF0000895046, DSF0000940371, DSF0001035191, DSF0001083690"
15,K261,P.S. 261 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / PARAPETS / ROOFS / PLAYGROUND REDEVELOPMENT / TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Design,Complete,5/1/2023,9/1/2023,2/7/2024,294389,456098.00,401969.00,"DSF0000872231, DSF0000895047, DSF0000895046, DSF0000940371, DSF0001035191, DSF0001083690"
15,K261,P.S. 261 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / PARAPETS / ROOFS / PLAYGROUND REDEVELOPMENT / TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,6574739,6613959.00,273629.00,"DSF0000872231, DSF0000895047, DSF0000895046, DSF0000940371, DSF0001035191, DSF0001083690"
15,K261,P.S. 261 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / PARAPETS / ROOFS / PLAYGROUND REDEVELOPMENT / TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL TCU REMOVAL/PLAYGROUND REDEVELOPMENT,"CM,F&E",PNS,PNS,PNS,PNS,417189,417189.00,118564.00,"DSF0000872231, DSF0000895047, DSF0000895046, DSF0000940371, DSF0001035191, DSF0001083690"
15,K261,P.S. 261 - BROOKLYN,DOE - RESOA,FY23 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,465000.00,0.00,DSF0001035506
15,K261,P.S. 261 - BROOKLYN,DOE - RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,556906.00,0.00,DSF0001086049
15,K261,P.S. 261 - BROOKLYN,DOE - RESOA,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,129000.00,0.00,DSF0001112655
15,K280,EDUCATIONAL CAMPUS @ 500 19 STREET - BROOKLYN,SCA CIP,PHASE II WORK,Scope,Complete,3/16/2016,3/16/2016,3/16/2016,231000,718501.00,718501.00,DSF0000798184
15,K280,EDUCATIONAL CAMPUS @ 500 19 STREET - BROOKLYN,SCA CIP,PHASE II WORK,Design,Complete,3/17/2016,8/29/2016,4/19/2017,924000,2596298.00,2556089.00,DSF0000798184
15,K280,EDUCATIONAL CAMPUS @ 500 19 STREET - BROOKLYN,SCA CIP,PHASE II WORK,Construction,In-Progress,8/7/2017,8/6/2019,,17325000,19796107.00,18240690.00,DSF0000798184
15,K280,EDUCATIONAL CAMPUS @ 500 19 STREET - BROOKLYN,SCA CIP,PHASE II WORK,"CM,F&E",In-Progress,8/7/2017,8/6/2019,,1584858,2334702.00,2028228.00,DSF0000798184
15,K280,EDUCATIONAL CAMPUS @ 500 19 STREET - BROOKLYN,SCA Lease Site Improvement,LEASE,Scope,Complete,2/6/2023,4/17/2023,4/10/2023,202000,189062.00,189062.00,DSF0001008660
15,K280,EDUCATIONAL CAMPUS @ 500 19 STREET - BROOKLYN,SCA Lease Site Improvement,LEASE,Design,Complete,4/11/2023,9/19/2023,2/16/2024,909000,490915.00,249171.00,DSF0001008660
15,K280,EDUCATIONAL CAMPUS @ 500 19 STREET - BROOKLYN,SCA Lease Site Improvement,LEASE,Construction,In-Progress,8/12/2024,9/3/2026,,11463500,10393614.00,233843.00,DSF0001008660
15,K280,EDUCATIONAL CAMPUS @ 500 19 STREET - BROOKLYN,SCA Lease Site Improvement,LEASE,"CM,F&E",In-Progress,8/12/2024,9/3/2026,,1616000,746707.00,137634.00,DSF0001008660
15,K280,I.S. 442 - BROOKLYN,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,5/10/2024,DIIR,7/24/2024,DIIR,35000.00,,DSF0000913813
15,K280,I.S. 442 - BROOKLYN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001033567
15,K280,I.S. 442 - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,5/24/2024,DIIR,8/2/2024,DIIR,55000.00,,DSF0001086066
15,K280,PRE-K CENTER AT BISHOP FORD SCHOOL SITE,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0001112669
15,K293,THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES - K,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,60000.00,0.00,DSF0001008211
15,K293,THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES - K,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,9/22/2022,DOER,,DOER,51442.00,0.00,DSF0001008214
15,K293,SUCCESS ACADEMY CHARTER SCHOOL - COBBLE HILL,DOE - RESOA,FY22 RESO A PLAYGROUND UPGRADE,Construction,In-Progress,6/26/2024,DOER,,DOER,210715.00,0.00,DSF0001033480
15,K321,P.S. 321 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,6/14/2021,12/13/2021,10/28/2021,122827,240025.00,217028.00,"DSF0000989763, DSF0000989764, DSF0000989765, DSF0001034336"
15,K321,P.S. 321 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,12/1/2021,6/30/2022,4/19/2022,614136,519175.00,516369.00,"DSF0000989763, DSF0000989764, DSF0000989765, DSF0001034336"
15,K321,P.S. 321 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,7/18/2022,1/2/2025,,13818037,12556279.00,11552592.00,"DSF0000989763, DSF0000989764, DSF0000989765, DSF0001034336"
15,K321,P.S. 321 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,7/18/2022,1/2/2025,,859789,502779.00,502229.00,"DSF0000989763, DSF0000989764, DSF0000989765, DSF0001034336"
15,K321,P.S. 321 - BROOKLYN,SCA CIP RESOA,FY22 RESO A PLAYGROUND UPGRADE,Scope,Complete,6/16/2022,9/15/2022,10/14/2022,0,38633.00,38633.00,DSF0001033545
15,K321,P.S. 321 - BROOKLYN,SCA CIP RESOA,FY22 RESO A PLAYGROUND UPGRADE,Design,Complete,10/18/2022,3/8/2023,2/14/2023,46341,62948.00,59875.00,DSF0001033545
15,K321,P.S. 321 - BROOKLYN,SCA CIP RESOA,FY22 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,679663,679663.00,29961.00,DSF0001033545
15,K321,P.S. 321 - BROOKLYN,SCA CIP RESOA,FY22 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,46341,46341.00,20870.00,DSF0001033545
15,K321,P.S. 321 - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,6/10/2024,DIIR,8/19/2024,DIIR,50000.00,,DSF0001086087
15,K321,P.S. 321 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112686
15,K321,P.S. 321 - BROOKLYN,DOE - RESOA,FY09 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,DOER,95899.00,0.00,DSF0000623083
15,K333,SUNSET PARK AVENUES ELEMENTARY SCHOOL,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,1/29/2024,DOES,,DOES,65832.00,0.00,DSF0001085443
15,K338,P.S. 338 - BROOKLYN,SCA Furniture & Equipment,FY24 RESO A MOBILE SCIENCE CARTS,F&E,In-Progress,8/19/2024,,,150000,150000.00,14907.00,DSF0001086092
15,K338,P.S. 338 - BROOKLYN,SCA Furniture & Equipment,FY24 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,150000,150000.00,149405.00,DSF0001086093
15,K338,M.S. 890,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,260000.00,0.00,DSF0001112691
15,K338,M.S. 890,DOE - RESOA,FY19 RESO A HYDROPONICS LAB,Construction,In-Progress,7/8/2019,DOER,,DOER,155023.00,0.00,DSF0000890658
15,K338,P.S. 338 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,12/6/2023,DOES,5/14/2024,DOES,50832.00,,DSF0001084159
15,K347,P.S. @ 763 PRESIDENT STREET - BROOKLYN,SCA Lease Site Improvement,LEASE,Scope,Complete,1/21/2021,5/13/2021,5/11/2021,423340,393953.00,393953.00,DSF0000866091
15,K347,P.S. @ 763 PRESIDENT STREET - BROOKLYN,SCA Lease Site Improvement,LEASE,Design,Complete,5/12/2021,11/12/2021,4/11/2022,1905030,1249045.00,829867.00,DSF0000866091
15,K347,P.S. @ 763 PRESIDENT STREET - BROOKLYN,SCA Lease Site Improvement,LEASE,Construction,In-Progress,7/11/2022,9/3/2024,,24024545,24477814.00,21557346.00,DSF0000866091
15,K347,P.S. @ 763 PRESIDENT STREET - BROOKLYN,SCA Lease Site Improvement,LEASE,"CM,F&E",In-Progress,7/11/2022,9/3/2024,,3386720,2942947.00,2485789.00,DSF0000866091
15,K369,COY L. COX SCHOOL,SCA CIP,WINDOWS,Scope,Complete,5/21/2021,10/6/2021,8/18/2021,37780,71336.00,71336.00,DSF0000989940
15,K369,COY L. COX SCHOOL,SCA CIP,WINDOWS,Design,Complete,9/15/2021,2/18/2022,1/12/2022,188900,285346.00,285346.00,DSF0000989940
15,K369,COY L. COX SCHOOL,SCA CIP,WINDOWS,Construction,In-Progress,9/12/2022,3/4/2024,,4250250,3948375.00,658439.00,DSF0000989940
15,K369,COY L. COX SCHOOL,SCA CIP,WINDOWS,"CM,F&E",In-Progress,9/12/2022,3/4/2024,,264460,114241.00,114044.00,DSF0000989940
15,K369,COY L. COX SCHOOL,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,12/16/2022,4/19/2023,12/27/2022,4140,3836.00,3836.00,DSF0001034553
15,K369,COY L. COX SCHOOL,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,12/27/2022,6/23/2023,2/22/2023,18630,15347.00,15347.00,DSF0001034553
15,K369,COY L. COX SCHOOL,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,7/21/2023,6/14/2024,,240120,217574.00,183114.00,DSF0001034553
15,K369,COY L. COX SCHOOL,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,7/21/2023,6/14/2024,,152433,138771.00,82282.00,DSF0001034553
15,K369,COY L. COX SCHOOL,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,12/21/2023,DIIR,,DIIR,385000.00,0.00,DSF0001033077
15,K369,COY L. COX SCHOOL,DOE - RESOA,FY20 RESO A ROOM CONVERSION,Construction,In-Progress,7/6/2022,DOER,,DOER,337326.00,0.00,DSF0000913196
15,K369,COY L. COX SCHOOL,DOE - Skilled Trades,PA- CLOCK SYSTEM,Construction,In-Progress,11/6/2023,DOES,,DOES,207140.00,0.00,DSF0001087244
15,K371,K371 SPED - BROOKLYN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/10/2024,DIIR,5/15/2024,DIIR,333721.00,333721.00,DSF0001035548
15,K371,K371 SPED - BROOKLYN,DOE - RESOA,FY19 RESO A ROOM CONVERSION/PARTITIONING,Construction,In-Progress,2/29/2020,DOER,,DOER,100712.00,0.00,DSF0000889770
15,K371,K371 SPED - BROOKLYN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,0.00,DSF0001086102
15,K371,K371 SPED - BROOKLYN,DOE - RESOA,RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,166279.00,0.00,DSF0001112207
15,K371,K371 SPED - BROOKLYN,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,0.00,DSF0001112695
15,K437,K053 SPED - BROOKLYN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001033452
15,K437,M.S. 839 - BROOKLYN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/26/2024,DIIR,8/14/2024,DIIR,100000.00,100000.00,DSF0001033617
15,K437,M.S. 839 - BROOKLYN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,1/25/2024,DIIR,4/8/2024,DIIR,60000.00,60000.00,DSF0001035572
15,K437,M.S. 839 - BROOKLYN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,1/25/2024,DIIR,4/8/2024,DIIR,54175.00,54175.00,DSF0001035573
15,K437,M.S. 839 - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/20/2024,DIIR,6/20/2024,DIIR,50000.00,50000.00,DSF0001086119
15,K437,K053 SPED - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/20/2024,DIIR,6/24/2024,DIIR,50000.00,50000.00,DSF0001086120
15,K437,M.S. 839 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112712
15,K437,P.S. 130 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,5/9/2024,DOES,,DOES,50832.00,0.00,DSF0001084770
15,K447,3K CENTER @ 129 VAN BRUNT STREET - BROOKLYN,3K,LEASE,Scope,Complete,5/28/2021,7/16/2021,7/15/2021,283140,233231.00,233231.00,DSF0001008920
15,K447,3K CENTER @ 129 VAN BRUNT STREET - BROOKLYN,3K,LEASE,Design,Complete,7/16/2021,10/7/2021,6/7/2022,1274130,1495093.00,1179675.00,DSF0001008920
15,K447,3K CENTER @ 129 VAN BRUNT STREET - BROOKLYN,3K,LEASE,Construction,In-Progress,8/15/2022,9/3/2023,,16068195,14504545.00,13776493.00,DSF0001008920
15,K447,3K CENTER @ 129 VAN BRUNT STREET - BROOKLYN,3K,LEASE,"CM,F&E",In-Progress,8/15/2022,9/3/2023,,2265120,750321.00,1511241.00,DSF0001008920
15,K460,SECONDARY SCHOOL FOR LAW - K,SCA CIP,MASONRY,Scope,Complete,12/21/2018,5/9/2019,9/24/2019,29978,74130.00,74097.00,DSF0000960918
15,K460,SECONDARY SCHOOL FOR LAW - K,SCA CIP,MASONRY,Design,Complete,10/28/2019,4/1/2020,5/18/2020,149889,229906.00,149710.00,DSF0000960918
15,K460,SECONDARY SCHOOL FOR LAW - K,SCA CIP,MASONRY,Construction,In-Progress,5/11/2021,11/1/2022,,3372509,2406900.00,1819225.00,DSF0000960918
15,K460,SECONDARY SCHOOL FOR LAW - K,SCA CIP,MASONRY,"CM,F&E",In-Progress,5/11/2021,11/1/2022,,209845,250437.00,247075.00,DSF0000960918
15,K460,PARK SLOPE COLLEGIATE - K,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001112715
15,K460,PARK SLOPE COLLEGIATE - K,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,33300,33300.00,0.00,DSF0001112715
15,K460,PARK SLOPE COLLEGIATE - K,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,488400,488400.00,0.00,DSF0001112715
15,K460,PARK SLOPE COLLEGIATE - K,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,33300,33300.00,0.00,DSF0001112715
15,K460,PARK SLOPE COLLEGIATE - K,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113591
15,K460,PARK SLOPE COLLEGIATE - K,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113591
15,K460,PARK SLOPE COLLEGIATE - K,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113591
15,K460,PARK SLOPE COLLEGIATE - K,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113591
15,K460,MILLENIUM BROOKLYN HIGH SCHOOL - K,SCA IEH,"PO18-ABATE AND REPLACE FLOORS IN ROOMS 330, 332, 336",Construction,In-Progress,6/6/2024,IEH,,IEH,1296.00,721.00,SCA0000073055
15,K460,MILLENIUM BROOKLYN HIGH SCHOOL - K,SCA IEH,"PO18-ABATE PIPE INSULATION PIPE SPACE UNDER POOL MECHANICAL ROOM, 4TH STREET SIDE OF BUILDING BASEME",Construction,Complete,7/17/2024,IEH,7/19/2024,IEH,34654.00,649.00,SCA0000073145
15,K460,SECONDARY SCHOOL FOR LAW - K,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/14/2021,DIIR,4/12/2024,DIIR,50000.00,,DSF0001008261
15,K460,PARK SLOPE COLLEGIATE - K,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.00,0.00,DSF0001008283
15,K460,SECONDARY SCHOOL FOR LAW - K,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/14/2021,DIIR,6/21/2024,DIIR,50000.00,,DSF0001008284
15,K460,PARK SLOPE COLLEGIATE - K,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001033572
15,K460,PARK SLOPE COLLEGIATE - K,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,12/28/2023,DOER,,DOER,100315.00,0.00,DSF0001086128
15,K460,SECONDARY SCHOOL FOR LAW - K,DOE - RESOA,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001112716
15,K460,MILLENIUM BROOKLYN HIGH SCHOOL - K,DOE - RESOA,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001112717
15,K460,MILLENIUM BROOKLYN HIGH SCHOOL - K,DOE - Skilled Trades,CAFETERIA SERVING LINE,Construction,In-Progress,12/1/2022,DOES,,DOES,827633.00,0.00,DSF0000960842
15,K460,MILLENIUM BROOKLYN HIGH SCHOOL - K,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,7/18/2024,DOES,,DOES,65832.00,0.00,DSF0001084908
15,K520,BROOKLYN FRONTIERS HIGH SCHOOL - K,SCA IEH,PO18-ABATE WALL AND CEILING LAYERS FOR ACM LOCS: ROOMS 111 AND 117 STRESS CRACKS FROM EARTHQUAKE,Construction,Complete,5/7/2024,IEH,6/1/2024,IEH,17738.00,11568.00,SCA0000072990
15,K520,BROOKLYN FRONTIERS HIGH SCHOOL - K,SCA IEH,PO18-SAFE ACCESS ABATEMENT,Construction,Complete,5/17/2024,IEH,6/1/2024,IEH,24035.00,7291.00,SCA0000073011
15,K520,BROOKLYN FRONTIERS HIGH SCHOOL - K,DOE - RESOA,FY17 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,201141.00,0.00,DSF0000844843
15,K520,BROOKLYN FRONTIERS HIGH SCHOOL - K,DOE - RESOA,FY20 RESO A FABLABS,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0000913064
15,K564,SUNSET PARK HS - BROOKLYN,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,2/21/2022,DOER,,DOER,102406.00,0.00,DSF0001008251
15,K564,SUNSET PARK HS - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,5/28/2024,DOES,,DOES,50832.00,0.00,DSF0001084921
15,K655,BROOKLYN HS OF THE ARTS - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,10/23/2020,2/26/2021,3/3/2021,5800,5567.00,5567.00,DSF0000960753
15,K655,BROOKLYN HS OF THE ARTS - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,3/3/2021,8/25/2021,7/14/2021,26100,22269.00,22269.00,DSF0000960753
15,K655,BROOKLYN HS OF THE ARTS - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/5/2022,2/28/2023,,336400,297211.00,250533.00,DSF0000960753
15,K655,BROOKLYN HS OF THE ARTS - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/5/2022,2/28/2023,,352096,337752.00,235344.00,DSF0000960753
